AwayTeam,AwayGoals,AwayShotsOnTarget,HomeTeam,HomeGoals,HomeShotsOnTarget,FullTimeResult,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak
Anderlecht,0.0,,Germinal,2.0,,H,6,12,6,12
Bergen,3.0,,Roeselare,4.0,,H,4,3,4,3
Standard,0.0,,Anderlecht,0.0,,D,15,6,15,6
Westerlo,3.0,,Bergen,1.0,,A,7,3,7,3
Waregem,3.0,,Charleroi,2.0,,A,7,6,7,6
Cercle Brugge,1.0,,Lokeren,1.0,,D,7,3,7,3
Roeselare,3.0,,Mechelen,4.0,,H,6,1,6,1
FC Brussels,1.0,,Mouscron,1.0,,D,9,2,9,2
Germinal,3.0,,St Truiden,0.0,,A,5,3,5,3
Gent,0.0,,Club Brugge,0.0,,D,21,6,21,6
Genk,0.0,,Dender,2.0,,H,2,7,2,7
Charleroi,1.0,,Standard,5.0,,H,12,4,12,4
Mouscron,0.0,,Cercle Brugge,3.0,,H,6,2,6,2
Genk,5.0,,FC Brussels,0.0,,A,3,7,3,7
Lokeren,2.0,,Gent,4.0,,H,12,4,12,4
Bergen,0.0,,Germinal,2.0,,H,6,3,6,3
Dender,2.0,,Waregem,1.0,,A,9,2,9,2
Mechelen,1.0,,Westerlo,1.0,,D,5,5,5,5
Club Brugge,2.0,,Roeselare,1.0,,A,4,6,4,6
Anderlecht,3.0,,St Truiden,4.0,,H,5,12,5,12
Waregem,2.0,,Genk,5.0,,H,8,6,8,6
St Truiden,0.0,,Bergen,0.0,,D,7,3,7,3
Standard,0.0,,Dender,0.0,,D,2,6,2,6
Cercle Brugge,4.0,,FC Brussels,1.0,,A,3,3,3,3
Westerlo,1.0,,Lokeren,1.0,,D,7,3,7,3
Germinal,2.0,,Mechelen,1.0,,A,6,3,6,3
Roeselare,3.0,,Mouscron,1.0,,A,9,1,9,1
Gent,2.0,,Charleroi,1.0,,A,7,6,7,6
Anderlecht,0.0,,Club Brugge,1.0,,H,21,12,21,12
Bergen,2.0,,Anderlecht,3.0,,H,15,3,15,3
Dender,4.0,,Gent,2.0,,A,12,2,12,2
Mouscron,0.0,,Germinal,3.0,,H,6,2,6,2
Mechelen,1.0,,St Truiden,0.0,,A,5,5,5,5
FC Brussels,0.0,,Waregem,1.0,,H,9,2,9,2
Charleroi,1.0,,Cercle Brugge,3.0,,H,6,4,6,4
Genk,1.0,,Standard,3.0,,H,12,7,12,7
Club Brugge,1.0,,Bergen,0.0,,A,7,6,7,6
Mechelen,0.0,,Anderlecht,1.0,,H,15,5,15,5
Dender,0.0,,Germinal,1.0,,H,6,2,6,2
Charleroi,2.0,,Roeselare,1.0,,A,4,4,4,4
Lokeren,1.0,,St Truiden,1.0,,D,5,4,5,4
Waregem,1.0,,Standard,3.0,,H,12,6,12,6
FC Brussels,2.0,,Westerlo,7.0,,H,5,2,5,2
Genk,1.0,,Cercle Brugge,5.0,,H,6,7,6,7
Mouscron,0.0,,Gent,2.0,,H,12,2,12,2
Lokeren,1.0,,Roeselare,1.0,,D,4,4,4,4
Club Brugge,0.0,,Westerlo,0.0,,D,5,6,5,6
Cercle Brugge,3.0,,Waregem,0.0,,A,9,3,9,3
Westerlo,1.0,,Charleroi,1.0,,D,7,3,7,3
Germinal,0.0,,Club Brugge,3.0,,H,21,3,21,3
Roeselare,1.0,,Dender,2.0,,H,2,1,2,1
Gent,3.0,,Genk,3.0,,D,8,6,8,6
Bergen,0.0,,Mechelen,2.0,,H,6,3,6,3
St Truiden,0.0,,Mouscron,0.0,,D,9,3,9,3
Standard,1.0,,FC Brussels,0.0,,A,3,6,3,6
Anderlecht,0.0,,Lokeren,0.0,,D,7,12,7,12
Dender,0.0,,Anderlecht,1.0,,H,15,2,15,2
Mouscron,0.0,,Bergen,2.0,,H,7,2,7,2
FC Brussels,0.0,,Gent,1.0,,H,12,2,12,2
Charleroi,0.0,,Mechelen,1.0,,H,6,4,6,4
Genk,0.0,,Roeselare,0.0,,D,4,7,4,7
Waregem,1.0,,Westerlo,1.0,,D,5,6,5,6
Standard,0.0,,Cercle Brugge,0.0,,D,6,6,6,6
Lokeren,1.0,,Germinal,1.0,,D,6,4,6,4
Club Brugge,1.0,,St Truiden,1.0,,D,5,6,5,6
St Truiden,1.0,,Charleroi,1.0,,D,7,3,7,3
Mechelen,0.0,,Club Brugge,2.0,,H,21,5,21,5
Cercle Brugge,4.0,,Dender,2.0,,A,2,3,2,3
Anderlecht,4.0,,FC Brussels,2.0,,A,3,12,3,12
Bergen,2.0,,Lokeren,1.0,,A,7,3,7,3
Westerlo,2.0,,Mouscron,1.0,,A,9,3,9,3
Roeselare,0.0,,Standard,0.0,,D,12,1,12,1
Germinal,3.0,,Genk,1.0,,A,8,3,8,3
Gent,1.0,,Waregem,2.0,,H,9,6,9,6
Cercle Brugge,2.0,,Gent,3.0,,H,12,3,12,3
Charleroi,0.0,,Bergen,0.0,,D,7,4,7,4
Waregem,0.0,,Germinal,0.0,,D,6,6,6,6
Lokeren,1.0,,Mechelen,1.0,,D,6,4,6,4
FC Brussels,0.0,,Roeselare,2.0,,H,4,2,4,2
Dender,2.0,,St Truiden,1.0,,A,5,2,5,2
Genk,1.0,,Westerlo,2.0,,H,5,7,5,7
Mouscron,1.0,,Anderlecht,2.0,,H,15,2,15,2
Standard,2.0,,Club Brugge,1.0,,A,21,6,21,6
St Truiden,1.0,,Genk,0.0,,A,8,3,8,3
Roeselare,0.0,,Cercle Brugge,0.0,,D,6,1,6,1
Germinal,0.0,,Charleroi,0.0,,D,7,3,7,3
Westerlo,0.0,,Dender,2.0,,H,2,3,2,3
Bergen,1.0,,FC Brussels,1.0,,D,3,3,3,3
Mechelen,1.0,,Mouscron,0.0,,A,9,5,9,5
Gent,0.0,,Standard,0.0,,D,12,6,12,6
Club Brugge,1.0,,Lokeren,0.0,,A,7,6,7,6
Anderlecht,0.0,,Waregem,1.0,,H,9,12,9,12
Charleroi,2.0,,Club Brugge,0.0,,A,21,4,21,4
Dender,2.0,,Bergen,2.0,,D,7,2,7,2
Mouscron,0.0,,Lokeren,0.0,,D,7,2,7,2
Waregem,1.0,,Mechelen,2.0,,H,6,6,6,6
Gent,1.0,,Roeselare,0.0,,A,4,6,4,6
FC Brussels,1.0,,St Truiden,1.0,,D,5,2,5,2
Standard,3.0,,Westerlo,1.0,,A,5,6,5,6
Genk,0.0,,Anderlecht,1.0,,H,15,7,15,7
Cercle Brugge,0.0,,Germinal,3.0,,H,6,3,6,3
St Truiden,1.0,,Standard,2.0,,H,12,3,12,3
Westerlo,0.0,,Cercle Brugge,1.0,,H,6,3,6,3
Mechelen,3.0,,Dender,0.0,,A,2,5,2,5
Lokeren,0.0,,FC Brussels,2.0,,H,3,4,3,4
Bergen,2.0,,Genk,1.0,,A,8,3,8,3
Club Brugge,0.0,,Mouscron,2.0,,H,9,6,9,6
Roeselare,1.0,,Waregem,3.0,,H,9,1,9,1
Anderlecht,2.0,,Charleroi,0.0,,A,7,12,7,12
Germinal,1.0,,Gent,2.0,,H,12,3,12,3
Standard,2.0,,Germinal,1.0,,A,6,6,6,6
Waregem,0.0,,Bergen,3.0,,H,7,6,7,6
FC Brussels,0.0,,Club Brugge,1.0,,H,21,2,21,2
Dender,0.0,,Lokeren,1.0,,H,7,2,7,2
Charleroi,1.0,,Mouscron,3.0,,H,9,4,9,4
Cercle Brugge,0.0,,St Truiden,0.0,,D,5,3,5,3
Gent,0.0,,Westerlo,2.0,,H,5,6,5,6
Roeselare,0.0,,Anderlecht,5.0,,H,15,1,15,1
Genk,2.0,,Mechelen,2.0,,D,6,7,6,7
Mouscron,1.0,,Genk,3.0,,H,8,2,8,2
Mechelen,0.0,,Cercle Brugge,2.0,,H,6,5,6,5
Lokeren,0.0,,Charleroi,1.0,,H,7,4,7,4
Club Brugge,0.0,,Dender,1.0,,H,2,6,2,6
Germinal,2.0,,FC Brussels,1.0,,A,3,3,3,3
Westerlo,2.0,,Roeselare,0.0,,A,4,3,4,3
St Truiden,2.0,,Waregem,3.0,,H,9,3,9,3
Anderlecht,3.0,,Gent,2.0,,A,12,12,12,12
Bergen,0.0,,Standard,2.0,,H,12,3,12,3
Gent,0.0,,Bergen,4.0,,H,7,6,7,6
FC Brussels,0.0,,Charleroi,1.0,,H,7,2,7,2
Westerlo,2.0,,Germinal,0.0,,A,6,3,6,3
Waregem,0.0,,Lokeren,0.0,,D,7,6,7,6
Standard,1.0,,Mechelen,0.0,,A,6,6,6,6
Dender,1.0,,Mouscron,2.0,,H,9,2,9,2
Roeselare,1.0,,St Truiden,0.0,,A,5,1,5,1
Cercle Brugge,1.0,,Anderlecht,3.0,,H,15,3,15,3
Genk,6.0,,Club Brugge,2.0,,A,21,7,21,7
St Truiden,3.0,,Gent,2.0,,A,12,3,12,3
Bergen,0.0,,Cercle Brugge,0.0,,D,6,3,6,3
Charleroi,4.0,,Dender,2.0,,A,2,4,2,4
Mechelen,2.0,,FC Brussels,2.0,,D,3,5,3,5
Lokeren,3.0,,Genk,2.0,,A,8,4,8,4
Germinal,0.0,,Roeselare,1.0,,H,4,3,4,3
Club Brugge,3.0,,Waregem,2.0,,A,9,6,9,6
Mouscron,0.0,,Standard,1.0,,H,12,2,12,2
Anderlecht,2.0,,Westerlo,0.0,,A,5,12,5,12
Standard,0.0,,Lokeren,0.0,,D,7,6,7,6
Roeselare,1.0,,Bergen,1.0,,D,7,1,7,1
Genk,1.0,,Charleroi,3.0,,H,7,7,7,7
FC Brussels,1.0,,Dender,1.0,,D,2,2,2,2
Gent,0.0,,Mechelen,1.0,,H,6,6,6,6
Waregem,2.0,,Mouscron,0.0,,A,9,6,9,6
Westerlo,2.0,,St Truiden,0.0,,A,5,3,5,3
Germinal,0.0,,Anderlecht,2.0,,H,15,3,15,3
Cercle Brugge,0.0,,Club Brugge,1.0,,H,21,3,21,3
Lokeren,2.0,,Cercle Brugge,3.0,,H,6,4,6,4
Mouscron,2.0,,FC Brussels,0.0,,A,3,2,3,2
Dender,0.0,,Genk,2.0,,H,8,2,8,2
St Truiden,1.0,,Germinal,2.0,,H,6,3,6,3
Mechelen,2.0,,Roeselare,2.0,,D,4,5,4,5
Charleroi,2.0,,Waregem,2.0,,D,9,4,9,4
Bergen,0.0,,Westerlo,0.0,,D,5,3,5,3
Club Brugge,0.0,,Gent,0.0,,D,12,6,12,6
Anderlecht,0.0,,Standard,2.0,,H,12,12,12,12
Gent,1.0,,Lokeren,1.0,,D,7,6,7,6
St Truiden,1.0,,Anderlecht,4.0,,H,15,3,15,3
Germinal,0.0,,Bergen,0.0,,D,7,3,7,3
Waregem,1.0,,Dender,2.0,,H,2,6,2,6
FC Brussels,1.0,,Genk,2.0,,H,8,2,8,2
Westerlo,0.0,,Mechelen,1.0,,H,6,3,6,3
Cercle Brugge,0.0,,Mouscron,1.0,,H,9,3,9,3
Standard,1.0,,Charleroi,2.0,,H,7,6,7,6
Roeselare,0.0,,Club Brugge,1.0,,H,21,1,21,1
Genk,2.0,,Waregem,2.0,,D,9,7,9,7
Club Brugge,0.0,,Anderlecht,2.0,,H,15,6,15,6
FC Brussels,0.0,,Cercle Brugge,0.0,,D,6,2,6,2
Charleroi,1.0,,Gent,2.0,,H,12,4,12,4
Mechelen,3.0,,Germinal,4.0,,H,6,5,6,5
Mouscron,1.0,,Roeselare,2.0,,H,4,2,4,2
Bergen,1.0,,St Truiden,1.0,,D,5,3,5,3
Dender,0.0,,Standard,3.0,,H,12,2,12,2
Lokeren,2.0,,Westerlo,1.0,,A,5,4,5,4
Waregem,2.0,,FC Brussels,1.0,,A,3,6,3,6
Anderlecht,2.0,,Bergen,1.0,,A,7,12,7,12
Cercle Brugge,3.0,,Charleroi,1.0,,A,7,3,7,3
Westerlo,0.0,,Club Brugge,4.0,,H,21,3,21,3
Gent,3.0,,Dender,0.0,,A,2,6,2,6
Standard,2.0,,Genk,0.0,,A,8,6,8,6
Roeselare,0.0,,Lokeren,3.0,,H,7,1,7,1
St Truiden,3.0,,Mechelen,2.0,,A,6,3,6,3
Germinal,0.0,,Mouscron,1.0,,H,9,3,9,3
Genk,1.0,5.0,Standard,1.0,5.0,D,12,7,12,7
Waregem,1.0,4.0,Oud-Heverlee Leuven,1.0,4.0,D,4,6,4,6
Seraing,0.0,4.0,Kortrijk,2.0,4.0,H,5,2,5,2
Charleroi,3.0,6.0,Oostende,0.0,3.0,A,5,4,5,4
Antwerp,2.0,5.0,Mechelen,3.0,9.0,H,6,6,6,6
Eupen,2.0,5.0,Club Brugge,2.0,11.0,D,21,4,21,4
St. Gilloise,3.0,5.0,Anderlecht,1.0,2.0,A,15,7,15,7
Gent,1.0,4.0,St Truiden,2.0,2.0,H,5,6,5,6
Cercle Brugge,1.0,,Beerschot VA,0.0,,A,5,3,5,3
Oostende,4.0,7.0,Genk,3.0,9.0,A,8,3,8,3
St Truiden,0.0,3.0,Charleroi,0.0,0.0,D,7,3,7,3
Oud-Heverlee Leuven,1.0,1.0,Cercle Brugge,1.0,3.0,D,6,2,6,2
Mechelen,0.0,4.0,Seraing,1.0,4.0,H,1,5,1,5
Anderlecht,1.0,3.0,Eupen,1.0,5.0,D,2,12,2,12
Club Brugge,1.0,6.0,St. Gilloise,0.0,3.0,A,8,6,8,6
Standard,2.0,5.0,Waregem,1.0,3.0,A,9,6,9,6
Beerschot VA,2.0,7.0,Gent,2.0,5.0,D,12,4,12,4
Kortrijk,1.0,5.0,Antwerp,0.0,3.0,A,8,3,8,3
Cercle Brugge,1.0,1.0,Club Brugge,1.0,3.0,D,21,3,21,3
St. Gilloise,3.0,6.0,Beerschot VA,0.0,2.0,A,5,7,5,7
Eupen,3.0,4.0,Mechelen,1.0,4.0,A,6,4,6,4
Waregem,3.0,7.0,St Truiden,1.0,1.0,A,5,6,5,6
Genk,2.0,6.0,Kortrijk,1.0,3.0,A,5,7,5,7
Antwerp,5.0,6.0,Standard,2.0,9.0,A,12,6,12,6
Charleroi,1.0,9.0,Oud-Heverlee Leuven,1.0,4.0,D,4,4,4,4
Seraing,0.0,1.0,Anderlecht,3.0,7.0,H,15,2,15,2
Gent,0.0,0.0,Oostende,1.0,3.0,H,5,6,5,6
Antwerp,1.0,7.0,Charleroi,1.0,7.0,D,7,6,7,6
Kortrijk,0.0,2.0,St. Gilloise,2.0,8.0,H,8,3,8,3
St Truiden,1.0,5.0,Eupen,2.0,5.0,H,2,3,2,3
Oostende,3.0,7.0,Seraing,2.0,3.0,A,1,3,1,3
Oud-Heverlee Leuven,0.0,6.0,Genk,4.0,8.0,H,8,2,8,2
Standard,1.0,1.0,Beerschot VA,0.0,4.0,A,5,6,5,6
Mechelen,0.0,3.0,Gent,2.0,8.0,H,12,5,12,5
Anderlecht,2.0,6.0,Cercle Brugge,1.0,2.0,A,6,12,6,12
Club Brugge,4.0,11.0,Waregem,0.0,1.0,A,9,6,9,6
Oostende,0.0,1.0,Standard,1.0,5.0,H,12,3,12,3
Cercle Brugge,1.0,5.0,Seraing,2.0,5.0,H,1,3,1,3
Eupen,4.0,8.0,Oud-Heverlee Leuven,1.0,6.0,A,4,4,4,4
Kortrijk,2.0,2.0,St Truiden,0.0,4.0,A,5,3,5,3
Charleroi,2.0,4.0,Waregem,2.0,7.0,D,9,4,9,4
Beerschot VA,2.0,4.0,Club Brugge,3.0,5.0,H,21,4,21,4
St. Gilloise,1.0,5.0,Mechelen,3.0,4.0,H,6,7,6,7
Mechelen,2.0,4.0,Kortrijk,2.0,5.0,D,5,5,5,5
Beerschot VA,2.0,3.0,Charleroi,5.0,10.0,H,7,4,7,4
St Truiden,1.0,2.0,Cercle Brugge,0.0,6.0,A,6,3,6,3
Seraing,2.0,4.0,Eupen,1.0,2.0,A,2,2,2,2
Standard,0.0,0.0,St. Gilloise,4.0,4.0,H,8,6,8,6
Club Brugge,1.0,3.0,Gent,6.0,6.0,H,12,6,12,6
Oud-Heverlee Leuven,2.0,6.0,Antwerp,2.0,6.0,D,8,2,8,2
Anderlecht,0.0,0.0,Genk,1.0,3.0,H,8,12,8,12
Waregem,2.0,6.0,Oostende,0.0,3.0,A,5,6,5,6
Oostende,0.0,2.0,Club Brugge,3.0,7.0,H,21,3,21,3
Antwerp,1.0,6.0,Eupen,0.0,4.0,A,2,6,2,6
Cercle Brugge,4.0,8.0,Waregem,2.0,2.0,A,9,3,9,3
Mechelen,2.0,3.0,Anderlecht,7.0,9.0,H,15,5,15,5
Charleroi,3.0,4.0,Gent,2.0,10.0,A,12,4,12,4
Standard,1.0,3.0,Seraing,0.0,6.0,A,1,6,1,6
St. Gilloise,1.0,7.0,Genk,1.0,5.0,D,8,7,8,7
Kortrijk,1.0,8.0,Oud-Heverlee Leuven,2.0,5.0,H,4,3,4,3
St Truiden,1.0,3.0,Beerschot VA,0.0,2.0,A,5,3,5,3
Eupen,2.0,8.0,Cercle Brugge,1.0,3.0,A,6,4,6,4
Beerschot VA,1.0,4.0,Oostende,3.0,12.0,H,5,4,5,4
Oud-Heverlee Leuven,0.0,5.0,Mechelen,2.0,4.0,H,6,2,6,2
Waregem,1.0,5.0,St. Gilloise,2.0,6.0,H,8,6,8,6
Club Brugge,1.0,4.0,Charleroi,0.0,5.0,A,7,6,7,6
Genk,2.0,2.0,St Truiden,1.0,3.0,A,5,7,5,7
Seraing,1.0,2.0,Antwerp,2.0,6.0,H,8,2,8,2
Anderlecht,1.0,4.0,Standard,0.0,1.0,A,12,12,12,12
Gent,0.0,3.0,Kortrijk,1.0,3.0,H,5,6,5,6
Genk,2.0,7.0,Antwerp,4.0,7.0,H,8,7,8,7
Gent,1.0,2.0,Anderlecht,1.0,5.0,D,15,6,15,6
Oud-Heverlee Leuven,1.0,1.0,Club Brugge,1.0,9.0,D,21,2,21,2
Eupen,3.0,5.0,Beerschot VA,0.0,1.0,A,5,4,5,4
Kortrijk,2.0,3.0,Waregem,2.0,3.0,D,9,3,9,3
St Truiden,2.0,4.0,Standard,1.0,1.0,A,12,3,12,3
Antwerp,2.0,5.0,St. Gilloise,1.0,11.0,A,8,6,8,6
Cercle Brugge,1.0,4.0,Gent,2.0,6.0,H,12,3,12,3
Anderlecht,2.0,6.0,Oostende,2.0,5.0,D,5,12,5,12
Mechelen,2.0,5.0,Charleroi,0.0,1.0,A,7,5,7,5
Seraing,0.0,2.0,Genk,3.0,8.0,H,8,2,8,2
Standard,1.0,4.0,Mechelen,3.0,8.0,H,6,6,6,6
Charleroi,2.0,10.0,Kortrijk,2.0,8.0,D,5,4,5,4
St. Gilloise,3.0,5.0,Cercle Brugge,0.0,2.0,A,6,7,6,7
Oostende,1.0,1.0,St Truiden,1.0,4.0,D,5,3,5,3
Beerschot VA,0.0,4.0,Oud-Heverlee Leuven,0.0,7.0,D,4,4,4,4
Club Brugge,1.0,4.0,Anderlecht,1.0,4.0,D,15,6,15,6
Waregem,1.0,4.0,Seraing,5.0,16.0,H,1,6,1,6
Gent,0.0,3.0,Antwerp,1.0,5.0,H,8,6,8,6
Genk,2.0,4.0,Eupen,3.0,7.0,H,2,7,2,7
Kortrijk,0.0,0.0,Club Brugge,2.0,6.0,H,21,3,21,3
Seraing,2.0,4.0,St. Gilloise,4.0,9.0,H,8,2,8,2
Cercle Brugge,1.0,4.0,Oostende,2.0,3.0,H,5,3,5,3
Antwerp,1.0,3.0,Waregem,2.0,8.0,H,9,6,9,6
Oud-Heverlee Leuven,2.0,7.0,Standard,2.0,6.0,D,12,2,12,2
Anderlecht,2.0,6.0,St Truiden,2.0,9.0,D,5,12,5,12
Mechelen,1.0,5.0,Beerschot VA,0.0,6.0,A,5,5,5,5
Genk,0.0,8.0,Charleroi,2.0,3.0,H,7,7,7,7
Eupen,0.0,3.0,Gent,2.0,13.0,H,12,4,12,4
Charleroi,3.0,8.0,Seraing,1.0,1.0,A,1,4,1,4
Standard,1.0,2.0,Cercle Brugge,1.0,5.0,D,6,6,6,6
Oostende,0.0,0.0,Kortrijk,1.0,5.0,H,5,3,5,3
Waregem,2.0,3.0,Mechelen,2.0,7.0,D,6,6,6,6
St. Gilloise,3.0,4.0,Eupen,2.0,6.0,A,2,7,2,7
