HomeTeam,AwayTeam,MeanGoalsHome,MeanShotsOnTargetHome,MeanGoalsAway,MeanShotsOnTargetAway,HomeTeam_FTR_Mode,AwayTeam_FTR_Mode,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak
Club Brugge,Waregem,2.306451612903226,6.5210084033613445,1.2826855123674912,4.145833333333333,"('Club Brugge', 'H')","('Waregem', 'H')",21,6,2,6
Genk,Eupen,1.946236559139785,5.823529411764706,0.9652777777777778,3.5350877192982457,"('Genk', 'H')","('Eupen', 'H')",8,4,5,7
Charleroi,Oostende,1.3746478873239436,4.939130434782609,0.9939024390243902,4.073684210526316,"('Charleroi', 'H')","('Oostende', 'H')",9,3,4,13
Kortrijk,St Truiden,1.466403162055336,4.7094017094017095,1.0224358974358974,3.73109243697479,"('Kortrijk', 'H')","('St Truiden', 'H')",5,3,7,11
Mechelen,St. Gilloise,1.5642857142857143,5.173076923076923,2.1578947368421053,5.5964912280701755,"('Mechelen', 'H')","('St. Gilloise', 'A')",6,7,4,2
Standard,Cercle Brugge,1.814516129032258,5.102564102564102,0.986013986013986,3.9320388349514563,"('Standard', 'H')","('Cercle Brugge', 'H')",12,3,4,14
Gent,Westerlo,1.8629032258064515,5.890756302521009,1.1576923076923078,4.205128205128205,"('Gent', 'H')","('Westerlo', 'H')",12,3,4,6
Anderlecht,Seraing,2.3002680965147455,5.508474576271187,1.0,2.4411764705882355,"('Anderlecht', 'H')","('Seraing', 'H')",17,2,3,7
Antwerp,Oud-Heverlee Leuven,1.6761363636363635,5.194915254237288,1.1940298507462686,4.324324324324325,"('Antwerp', 'H')","('Oud-Heverlee Leuven', 'H')",8,2,4,9
Oostende,Gent,1.5,4.864583333333333,1.462162162162162,5.237288135593221,"('Oostende', 'A')","('Gent', 'A')",5,6,6,4
Westerlo,Standard,1.4980988593155893,4.75,1.4112903225806452,4.1525423728813555,"('Westerlo', 'H')","('Standard', 'A')",5,6,7,5
